undefined

1 atom types

1728 atoms

0.000000 100.000000 xlo xhi
0.000000 100.000000 ylo yhi
0.000000 100.000000 zlo zhi

Masses

1 32.000000 # MeOH

Atoms

1 1 1  52.090858 37.430546 32.630920
2 2 1  55.464264 56.516430 21.569420
3 3 1  60.295166 37.595364 61.025631
4 4 1  24.439800 48.918915 34.822998
5 5 1  30.672840 50.226833 58.322292
6 6 1  59.509304 53.424625 34.293056
7 7 1  53.849361 64.468132 57.930252
8 8 1  61.235252 63.042538 60.917156
9 9 1  58.814873 32.182018 32.352016
10 10 1  39.365807 69.972687 65.793556
11 11 1  57.976574 71.382637 61.756157
12 12 1  28.707830 53.957081 52.372162
13 13 1  58.843552 57.258118 21.255625
14 14 1  33.296627 55.330612 66.448479
15 15 1  49.321491 21.415983 43.019775
16 16 1  48.343361 40.732643 70.050964
17 17 1  26.120897 49.895073 50.613644
18 18 1  35.054634 33.163799 33.936161
19 19 1  76.016296 56.433907 69.122772
20 20 1  42.877895 55.059731 40.527805
21 21 1  52.406467 52.734009 73.301964
22 22 1  40.773727 45.133141 76.338203
23 23 1  32.881081 32.258686 48.216156
24 24 1  46.412971 48.128067 74.742645
25 25 1  56.527161 32.855217 56.559525
26 26 1  26.916796 60.020893 46.295094
27 27 1  68.490219 47.671513 54.103058
28 28 1  66.028709 40.668613 38.854809
29 29 1  75.009857 50.018219 52.845703
30 30 1  33.339622 48.629040 28.912794
31 31 1  56.601730 57.716015 24.667507
32 32 1  67.488960 69.156746 48.237759
33 33 1  75.799988 61.224609 57.844410
34 34 1  57.589764 32.249660 63.804607
35 35 1  34.732704 64.171356 47.864357
36 36 1  44.494717 46.216633 46.003834
37 37 1  62.798752 61.785931 67.779213
38 38 1  68.799774 64.675758 64.995438
39 39 1  49.382347 55.617710 61.842331
40 40 1  51.045567 54.503094 31.513235
41 41 1  52.885036 44.383293 75.104218
42 42 1  47.688423 38.175404 63.550858
43 43 1  49.551285 56.137970 72.336960
44 44 1  30.562868 51.271461 44.342381
45 45 1  50.277203 64.681206 69.818985
46 46 1  45.083214 71.264427 44.396648
47 47 1  24.330627 41.379475 50.868725
48 48 1  49.742638 63.053635 24.663412
49 49 1  55.992081 66.501778 34.133808
50 50 1  36.626797 35.121204 53.458698
51 51 1  41.336025 40.929192 26.285309
52 52 1  63.370361 59.248379 57.376385
53 53 1  70.864281 30.899309 49.604530
54 54 1  55.749901 50.939198 68.993835
55 55 1  29.143782 65.500854 64.580704
56 56 1  48.138443 71.246376 29.457485
57 57 1  67.174103 58.534798 59.316944
58 58 1  34.640175 46.073833 43.898975
59 59 1  40.915775 57.213745 63.169659
60 60 1  59.886311 34.493858 41.744022
61 61 1  65.768585 34.686855 56.590309
62 62 1  75.486221 60.720608 53.387012
63 63 1  51.429077 53.906811 28.377649
64 64 1  52.252792 60.687302 68.021095
65 65 1  44.361603 86.129036 19.636238
66 66 1  69.876717 38.250713 63.858223
67 67 1  54.807980 66.947327 39.105988
68 68 1  46.288940 69.977303 34.820019
69 69 1  38.706009 54.050743 35.626507
70 70 1  24.930960 39.700695 56.297832
71 71 1  48.666576 46.426624 31.228258
72 72 1  34.056396 50.239498 55.077709
73 73 1  52.594398 37.575249 51.677185
74 74 1  63.493668 57.547066 32.031765
75 75 1  40.519947 49.754101 76.736290
76 76 1  37.920181 55.075817 59.149963
77 77 1  47.226151 20.114389 49.766792
78 78 1  74.195747 64.330315 55.392307
79 79 1  64.386414 65.819252 46.898422
80 80 1  55.951164 74.275513 33.014576
81 81 1  65.809341 31.174520 50.560883
82 82 1  36.550755 37.992756 48.143059
83 83 1  71.815926 41.836952 42.379723
84 84 1  52.156651 55.464634 68.916206
85 85 1  29.564779 68.294090 57.899033
86 86 1  39.276981 57.738564 27.977631
87 87 1  54.043621 39.857044 63.053841
88 88 1  35.578495 41.159691 66.879684
89 89 1  43.270054 22.629169 53.251118
90 90 1  47.775486 53.748737 50.651257
91 91 1  56.695465 64.667618 44.966721
92 92 1  58.023136 41.741920 42.604881
93 93 1  54.379517 51.133999 32.904778
94 94 1  38.811375 39.027653 53.029453
95 95 1  41.831501 71.536804 57.137642
96 96 1  73.581100 66.649307 44.176182
97 97 1  49.248142 37.354473 51.149071
98 98 1  44.744888 75.649788 50.170528
99 99 1  59.617504 42.688122 64.874962
100 100 1  51.467628 33.415882 60.106525
101 101 1  57.057072 63.828049 68.040894
102 102 1  58.300495 73.084145 47.069153
103 103 1  43.911697 56.145233 15.811567
104 104 1  61.134727 46.474068 35.417896
105 105 1  55.730816 53.610962 28.099600
106 106 1  57.783897 59.261101 71.994339
107 107 1  64.814941 35.156841 65.203262
108 108 1  70.992271 67.261230 41.140060
109 109 1  51.805386 52.445454 70.218002
110 110 1  61.948067 54.316444 32.358421
111 111 1  32.800545 39.267986 63.708744
112 112 1  74.914146 49.783821 39.719074
113 113 1  62.330223 58.141315 53.562469
114 114 1  47.536274 26.866159 48.877541
115 115 1  66.531334 56.969864 71.424576
116 116 1  31.326221 39.249359 55.502312
117 117 1  99.831078 66.429947 51.755314
118 118 1  50.203705 39.991985 44.084469
119 119 1  25.131506 44.816139 60.172089
120 120 1  45.560448 43.220299 60.181042
121 121 1  41.512463 37.508202 67.194542
122 122 1  47.660709 36.736996 26.207565
123 123 1  38.949608 44.615101 59.023232
124 124 1  32.805710 38.295513 41.412853
125 125 1  32.899754 70.663094 49.959007
126 126 1  38.625305 73.444717 51.951534
127 127 1  63.645363 57.999676 42.477982
128 128 1  24.780945 64.018837 48.175323
129 129 1  64.780792 65.866089 65.958893
130 130 1  44.473232 74.850548 38.194786
131 131 1  56.199169 49.041420 30.914673
132 132 1  51.428436 57.092560 27.317980
133 133 1  54.630615 41.146477 39.430763
134 134 1  47.574982 24.848343 45.868595
135 135 1  60.574753 56.566158 42.886887
136 136 1  51.608021 26.338341 51.067009
137 137 1  45.681828 63.905342 36.060799
138 138 1  31.611790 52.402336 69.874336
139 139 1  58.290390 54.881924 37.409496
140 140 1  53.552002 65.236954 69.983177
141 141 1  59.540958 62.581268 41.411366
142 142 1  45.551228 59.861603 26.886011
143 143 1  26.693428 70.490143 54.805832
144 144 1  52.277164 60.120014 30.692513
145 145 1  66.561623 32.178635 39.838078
146 146 1  56.390785 50.041954 74.784676
147 147 1  54.754070 36.590664 48.908882
148 148 1  79.528786 57.786537 51.493340
149 149 1  49.441425 50.913223 48.171574
150 150 1  25.209362 52.429573 43.319042
151 151 1  65.904793 58.606293 49.277325
152 152 1  56.889454 40.247658 73.401657
153 153 1  44.496750 57.426399 54.206310
154 154 1  48.182220 22.617649 62.550938
155 155 1  52.315407 72.380539 60.161194
156 156 1  32.847538 50.779724 40.597664
157 157 1  57.791790 24.168495 59.857933
158 158 1  19.961731 43.129837 40.080803
159 159 1  57.101032 53.400513 66.045204
160 160 1  27.293152 46.893101 45.392792
161 161 1  28.875587 50.451954 68.725975
162 162 1  34.981712 43.158707 62.864353
163 163 1  55.790638 28.999830 52.005398
164 164 1  44.529194 54.131424 53.799969
165 165 1  39.002815 34.581387 38.295498
166 166 1  51.628712 54.930313 43.446529
167 167 1  67.759087 59.451351 45.092506
