# Time-averaged data for fix P
# TimeStep v_p
100000 -35.1415
200000 -32.272
300000 -14.7571
400000 -21.3926
500000 -1.957
600000 3.2593
700000 -20.7372
800000 1.43942
900000 -6.16137
1000000 -7.56504
1100000 -7.33812
1200000 -17.9617
1300000 0.5221
1400000 14.4242
1500000 -16.5628
1600000 -11.5805
1700000 -7.48763
1800000 -7.30524
1900000 -18.693
2000000 -7.48988
2100000 5.89735
2200000 -0.962013
2300000 -0.299158
2400000 -21.9688
2500000 -6.6877
2600000 0.00755853
2700000 -10.8573
2800000 -17.8228
2900000 -6.09076
3000000 -2.73275
3100000 -2.07181
3200000 -15.7391
3300000 -9.74732
3400000 -3.8798
3500000 -10.1941
3600000 -0.450345
3700000 -23.7504
3800000 15.5691
3900000 -2.3303
4000000 -0.740054
4100000 -32.2915
4200000 -20.1326
4300000 -20.4057
4400000 -4.7138
4500000 -4.82131
4600000 -2.14995
4700000 -2.86109
4800000 -2.32887
4900000 -8.50412
5000000 7.94859
