# Time-averaged data for fix PX
# TimeStep v_px
100000 -35.96
200000 -30.6037
300000 -13.7563
400000 -26.5123
500000 -6.33679
600000 1.33278
700000 -19.4945
800000 -0.634948
900000 -1.38186
1000000 -3.862
1100000 -6.0211
1200000 -13.4449
1300000 4.33115
1400000 19.1725
1500000 -16.3812
1600000 -12.9878
1700000 1.92371
1800000 -0.852945
1900000 -15.7511
2000000 -7.44354
2100000 6.5245
2200000 3.3165
2300000 1.13276
2400000 -18.7815
2500000 -8.74398
2600000 7.00469
2700000 -12.2968
2800000 -21.2825
2900000 -6.86635
3000000 -7.2178
3100000 5.7252
3200000 -15.4609
3300000 -11.5603
3400000 -0.0772586
3500000 -3.03944
3600000 4.18427
3700000 -18.4664
3800000 15.0452
3900000 -2.42671
4000000 -0.881643
4100000 -31.4331
4200000 -24.1399
4300000 -18.9742
4400000 1.41312
4500000 -3.16589
4600000 1.26289
4700000 -2.52137
4800000 -0.11161
4900000 -7.19946
5000000 10.9726
