# Time-averaged data for fix PZ
# TimeStep v_pz
100000 -34.6793
200000 -38.1933
300000 -19.591
400000 -19.6779
500000 4.73209
600000 6.67141
700000 -25.1437
800000 1.88854
900000 -5.55559
1000000 -11.4085
1100000 -12.4413
1200000 -19.8482
1300000 -9.8025
1400000 14.51
1500000 -18.8683
1600000 -13.2602
1700000 -5.05913
1800000 -12.3669
1900000 -17.8499
2000000 -10.0418
2100000 3.92762
2200000 -4.17715
2300000 -0.741431
2400000 -25.1368
2500000 -7.28815
2600000 -5.11783
2700000 -9.32512
2800000 -17.7221
2900000 -4.10492
3000000 -4.20856
3100000 -10.0081
3200000 -14.5385
3300000 -7.78519
3400000 -7.29325
3500000 -12.3106
3600000 -3.43867
3700000 -29.1103
3800000 17.2748
3900000 -5.6675
4000000 -0.083862
4100000 -26.7073
4200000 -13.2613
4300000 -21.4087
4400000 -7.38065
4500000 -6.63937
4600000 -1.74437
4700000 -2.73545
4800000 -2.35326
4900000 -8.91617
5000000 6.81568
