# Time-averaged data for fix PY
# TimeStep v_py
100000 20.8515
200000 47.8775
300000 47.3767
400000 43.8728
500000 61.3803
600000 36.9479
700000 44.8039
800000 60.4026
900000 29.8389
1000000 65.4214
1100000 34.6101
1200000 52.4925
1300000 61.3104
1400000 26.2692
1500000 29.7652
1600000 54.4563
1700000 62.3119
1800000 54.7132
1900000 37.0052
2000000 40.715
2100000 30.3362
2200000 39.0326
2300000 48.4137
2400000 55.4883
2500000 46.975
2600000 42.0464
2700000 45.146
2800000 33.3469
2900000 46.5694
3000000 71.1893
3100000 43.7959
3200000 46.9493
3300000 45.4375
3400000 20.7958
3500000 24.0021
3600000 74.1993
3700000 43.4797
3800000 42.4142
3900000 37.7691
4000000 54.1405
4100000 43.1971
4200000 42.7538
4300000 37.0685
4400000 40.1035
4500000 77.1456
4600000 45.4708
4700000 47.3179
4800000 64.2264
4900000 71.9402
5000000 38.5241
