# Time-averaged data for fix P
# TimeStep v_p
100000 1.53566
200000 1.87854
300000 2.27706
400000 -0.218665
500000 1.03455
600000 0.675312
700000 2.13751
800000 2.66398
900000 2.58715
1000000 1.77187
1100000 0.318805
1200000 0.498885
1300000 0.897061
1400000 1.07184
1500000 -1.60013
1600000 0.84251
1700000 1.06919
1800000 1.65114
1900000 0.141434
2000000 0.329802
2100000 2.64676
2200000 -0.134189
2300000 2.46669
2400000 2.51861
2500000 1.26463
2600000 0.25715
2700000 0.533296
2800000 0.221603
2900000 1.18849
3000000 -1.27866
3100000 0.514466
3200000 2.34401
3300000 0.0530043
3400000 -0.197856
3500000 0.608418
3600000 0.679298
3700000 -0.75586
3800000 0.723523
3900000 0.587435
4000000 0.931576
