# Time-averaged data for fix PX
# TimeStep v_px
100000 1.3216
200000 3.21003
300000 -8.32125
400000 -0.171949
500000 -10.852
600000 19.1258
700000 1.11891
800000 -1.50197
900000 17.7868
1000000 4.08182
1100000 18.7452
1200000 2.349
1300000 10.6676
1400000 -0.0986895
1500000 6.01232
1600000 -3.90555
1700000 -8.79573
1800000 -8.55298
1900000 -1.78568
2000000 -8.06813
2100000 7.22926
2200000 -0.49151
2300000 1.12476
2400000 6.85528
2500000 0.718345
2600000 -12.6689
2700000 8.23934
2800000 4.39126
2900000 -2.61353
3000000 6.60629
3100000 1.4517
3200000 4.249
3300000 7.77643
3400000 -11.3906
3500000 -10.5071
3600000 8.66846
3700000 -10.331
3800000 -3.24403
3900000 3.8592
4000000 1.66172
