# Time-averaged data for fix PY
# TimeStep v_py
100000 11.7685
200000 -12.1751
300000 -4.76797
400000 6.5289
500000 3.10867
600000 -3.57246
700000 2.97409
800000 -2.4125
900000 -12.5162
1000000 -0.0558587
1100000 -1.41903
1200000 0.96036
1300000 -8.42404
1400000 -1.62784
1500000 -5.25963
1600000 4.27044
1700000 3.55163
1800000 5.13556
1900000 15.1962
2000000 1.69397
2100000 6.45866
2200000 -11.448
2300000 2.99728
2400000 6.70465
2500000 -0.0176624
2600000 11.0182
2700000 -1.09529
2800000 -5.14936
2900000 -5.0663
3000000 -9.47196
3100000 -0.495047
3200000 2.27526
3300000 -0.378416
3400000 3.10092
3500000 6.96725
3600000 -9.46838
3700000 14.7024
3800000 3.82429
3900000 -0.0484882
4000000 7.87733
