# Time-averaged data for fix PZ
# TimeStep v_pz
100000 -8.48306
200000 14.6007
300000 19.9204
400000 -7.01295
500000 10.847
600000 -13.5274
700000 2.31952
800000 11.9064
900000 2.49088
1000000 1.28964
1100000 -16.3698
1200000 -1.81271
1300000 0.44763
1400000 4.94204
1500000 -5.55308
1600000 2.16264
1700000 8.45167
1800000 8.37083
1900000 -12.9862
2000000 7.36357
2100000 -5.74763
2200000 11.5369
2300000 3.27803
2400000 -6.0041
2500000 3.09322
2600000 2.42215
2700000 -5.54417
2800000 1.42291
2900000 11.2453
3000000 -0.970302
3100000 0.586749
3200000 0.507774
3300000 -7.239
3400000 7.69607
3500000 5.36505
3600000 2.83782
3700000 -6.63899
3800000 1.5903
3900000 -2.04841
4000000 -6.74432
