# Time-averaged data for fix P
# TimeStep v_p
100000 84.4729
200000 89.4454
300000 76.3279
400000 82.443
500000 80.5366
600000 91.7976
700000 89.0021
800000 89.4111
900000 100.667
1000000 65.832
1100000 67.1738
1200000 54.217
1300000 99.6427
1400000 61.7116
1500000 97.7956
1600000 87.1575
1700000 99.5195
1800000 89.696
1900000 133.532
2000000 83.5999
2100000 92.6367
2200000 104.581
2300000 78.8234
2400000 98.6248
2500000 76.9052
2600000 111.973
2700000 105.302
2800000 101.585
2900000 107.417
3000000 80.3832
3100000 91.95
3200000 58.9151
3300000 89.2642
3400000 90.644
3500000 76.3826
3600000 74.0106
3700000 102.731
3800000 78.0843
3900000 92.0409
4000000 108.257
4100000 110.49
4200000 97.0346
4300000 106.7
4400000 95.2051
4500000 105.012
4600000 97.712
4700000 60.9761
4800000 67.0456
4900000 64.6769
5000000 69.8921
