# Time-averaged data for fix PX
# TimeStep v_px
100000 82.3917
200000 94.4195
300000 70.9972
400000 68.9765
500000 85.1427
600000 95.8343
700000 89.8624
800000 86.2348
900000 96.7002
1000000 70.5437
1100000 63.8513
1200000 57.9005
1300000 100.245
1400000 64.5275
1500000 97.5421
1600000 86.8793
1700000 93.6083
1800000 94.1742
1900000 134.188
2000000 90.1134
2100000 89.2912
2200000 115.71
2300000 79.9292
2400000 79.3915
2500000 80.4205
2600000 110.87
2700000 110.145
2800000 81.2296
2900000 96.8108
3000000 87.4431
3100000 88.7859
3200000 68.6033
3300000 93.9443
3400000 87.315
3500000 73.3909
3600000 82.4374
3700000 92.0633
3800000 82.0241
3900000 99.5793
4000000 100.723
4100000 119.46
4200000 100.666
4300000 113.618
4400000 94.8563
4500000 94.5735
4600000 93.5724
4700000 57.3412
4800000 65.0448
4900000 63.8446
5000000 71.0519
