# Time-averaged data for fix PY
# TimeStep v_py
100000 87.337
200000 91.693
300000 75.6417
400000 91.8223
500000 83.6205
600000 92.4355
700000 83.0093
800000 91.4249
900000 103.502
1000000 63.0134
1100000 75.2275
1200000 48.5575
1300000 98.6362
1400000 68.4087
1500000 94.1114
1600000 83.0408
1700000 106.773
1800000 93.5073
1900000 136.639
2000000 88.7688
2100000 86.3918
2200000 93.5053
2300000 77.6417
2400000 103.7
2500000 79.8915
2600000 121.839
2700000 103.003
2800000 121.077
2900000 110.399
3000000 73.0832
3100000 101.885
3200000 55.5986
3300000 79.4928
3400000 88.9278
3500000 81.1261
3600000 66.1008
3700000 102.514
3800000 76.4267
3900000 81.7063
4000000 114.794
4100000 103.367
4200000 84.4027
4300000 101.597
4400000 91.4125
4500000 123.349
4600000 90.4404
4700000 67.5023
4800000 73.473
4900000 66.0763
5000000 59.8964
