# Time-averaged data for fix PZ
# TimeStep v_pz
100000 83.69
200000 82.2237
300000 82.345
400000 86.5304
500000 72.8465
600000 87.1229
700000 94.1346
800000 90.5737
900000 101.799
1000000 63.9388
1100000 62.4426
1200000 56.1929
1300000 100.047
1400000 52.1986
1500000 101.733
1600000 91.5525
1700000 98.177
1800000 81.4065
1900000 129.768
2000000 71.9176
2100000 102.227
2200000 104.528
2300000 78.8993
2400000 112.783
2500000 70.4037
2600000 103.21
2700000 102.759
2800000 102.447
2900000 115.04
3000000 80.6234
3100000 85.1792
3200000 52.5433
3300000 94.3555
3400000 95.6893
3500000 74.6308
3600000 73.4934
3700000 113.617
3800000 75.8021
3900000 94.8369
4000000 109.255
4100000 108.644
4200000 106.035
4300000 104.886
4400000 99.3463
4500000 97.1139
4600000 109.123
4700000 58.0849
4800000 62.6188
4900000 64.1099
5000000 78.7279
